title,c_prod_bud,domestic_box_office,domestic_box_office_roi
Ant-Man,130000000,180202163.0,0.386
Antarctic Edge: 70º South,150000,7193.0,-0.952
Antarctica: A Year on Ice,1000000,288757.0,-0.711
Antitrust,30000000,10965209.0,-0.634
Antiviral,3100000,0.0,-1.0
Antwone Fisher,12500000,21078145.0,0.686
Antz,60000000,90757863.0,0.513
Any Given Sunday,60000000,75530832.0,0.259
Anything Else,18000000,3203044.0,-0.822
Anywhere But Here,23000000,18653615.0,-0.189
Apocalypse Now,31500000,78800000.0,1.502
Apocalypto,40000000,50866635.0,0.272
Apollo 13,65000000,172070496.0,1.647
Apollo 18,5000000,17686929.0,2.537
Appaloosa,20000000,20211394.0,0.011
April Fool's Day,5000000,12947763.0,1.59
Aqua Teen Hunger Force Colon Movie Film for Theaters,750000,5520368.0,6.36
Aquamarine,12000000,18597342.0,0.55
Arachnophobia,31000000,53208180.0,0.716
Ararat,15500000,1693000.0,-0.891
Arbitrage,12000000,7919574.0,-0.34
Are We There Yet?,20000000,82674398.0,3.134
Area 51,5000000,7556.0,-0.998
Argo,44500000,136025503.0,2.057
Arlington Road,21500000,24419219.0,0.136
Armageddon,140000000,201578182.0,0.44
Armored,20000000,15988876.0,-0.201
Army of Darkness,11000000,11502976.0,0.046
Arn - Tempelriddaren,16500000,0.0,-1.0
Arnolds Park,600000,23616.0,-0.961
Around the World in 80 Days,110000000,24004159.0,-0.782
Arrival,47000000,92681309.0,0.972
Arthur,40000000,33035397.0,-0.174
Arthur Christmas,85000000,46462469.0,-0.453
Arthur et les Minimoys,80000000,15132763.0,-0.811
Artie Lange's Beer League,2800000,475000.0,-0.83
Artificial Intelligence: AI,90000000,78616689.0,-0.126
"As Above, So Below",5000000,21222315.0,3.244
As Good as it Gets,50000000,148478011.0,1.97
As It Is in Heaven,450000,13486.0,-0.97
Assassins,50000000,30306268.0,-0.394
Assassin’s Creed,125000000,42409393.0,-0.661
Assault On Precinct 13,30000000,20040895.0,-0.332
Astro Boy,65000000,19551067.0,-0.699
Astérix aux Jeux Olympiques,113500000,999811.0,-0.991
Astérix et Obélix: Au service de Sa Majesté ,77600000,0.0,-1.0
At First Sight,40000000,22365133.0,-0.441
Atlantis: The Lost Empire,90000000,84052762.0,-0.066
Atlas Shrugged: Part II,10000000,3336053.0,-0.666
Atlas Shrugged: Who Is John Galt?,5000000,851690.0,-0.83
Atonement,30000000,50980159.0,0.699
Attack the Block,13000000,1024175.0,-0.921
August,3400000,12636.0,-0.996
August Rush,25000000,31664162.0,0.267
August:  Osage County,25000000,37738810.0,0.51
Austin Powers in Goldmember,63000000,213117789.0,2.383
Austin Powers: International Man of Mystery,18000000,53883989.0,1.994
Austin Powers: The Spy Who Shagged Me,35000000,206040085.0,4.887
Australia,130000000,49554002.0,-0.619
Auto Focus,7000000,2062066.0,-0.705
Automata,15000000,0.0,-1.0
Autumn in New York,40000000,37752931.0,-0.056
Avatar,425000000,760507625.0,0.789
Avengers: Age of Ultron,250000000,459005868.0,0.836
Awake,8600000,14373825.0,0.671
Away We Go,21000000,9451946.0,-0.55
Ayurveda: Art of Being,300000,16892.0,-0.944
B-Girl,700000,0.0,-1.0
Baahubali: The Beginning,40000000,6738000.0,-0.832
Babe,30000000,63658910.0,1.122
Babe: Pig in the City,80000000,18319860.0,-0.771
Babel,20000000,34302837.0,0.715
Baby Boy,16000000,28734552.0,0.796
Baby Geniuses,13000000,27151490.0,1.089
Baby Mama,30000000,60494212.0,1.016
Baby's Day Out,50000000,16581575.0,-0.668
Babylon A.D.,45000000,22532572.0,-0.499
Bacheha-Ye aseman,180000,933933.0,4.189
Bachelorette,3000000,446770.0,-0.851
Back to the Future,19000000,212259762.0,10.172
Back to the Future Part II,40000000,118450002.0,1.961
Back to the Future Part III,40000000,88055283.0,1.201
Backmask,25000,0.0,-1.0
Bad Boys,23000000,65647413.0,1.854
Bad Boys II,130000000,138540870.0,0.066
Bad Company,70000000,30157016.0,-0.569
Bad Lieutenant: Port of Call New Orleans,25000000,1702112.0,-0.932
Bad Moms,20000000,113257297.0,4.663
Bad Santa,18000000,60060328.0,2.337
Bad Teacher,19000000,100292856.0,4.279
Bad Words,10000000,7779614.0,-0.222
Baggage Claim,8500000,21569509.0,1.538
Baghead,200000,140016.0,-0.3
Bait,35000000,15325127.0,-0.562
Ballistic: Ecks vs. Sever,70000000,14294842.0,-0.796
Bambi,858000,102797000.0,118.81
Bamboozled,10000000,2185266.0,-0.781
Bandidas,35000000,0.0,-1.0
Bandits,75000000,41523271.0,-0.446
Bandslam,20000000,5210988.0,-0.739
Bang,10000,527.0,-0.947
Bangkok Dangerous,45000000,15298133.0,-0.66
Banlieue 13,15000000,1200216.0,-0.92
Banshee Chapter,950000,0.0,-1.0
Barbecue,10000000,388.0,-1.0
Barbershop,12000000,75781642.0,5.315
Barbershop 2: Back in Business,18000000,65070412.0,2.615
Barbershop: The Next Cut,20000000,54030051.0,1.702
Barfi,4600000,2804874.0,-0.39
Barney's Great Adventure,15000000,11156471.0,-0.256
Barney's Version,30000000,7502560.0,-0.75
Barnyard: The Original Party Animals,51000000,72779000.0,0.427
Barry Lyndon,11000000,20000000.0,0.818
Basic,50000000,26599248.0,-0.468
